"Kod";"Nazwa";"Stypendia";"Typy instytucji";"Rok";"Wartosc";"Jednostka miary";"Atrybut";
2000000;"PODLASKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2020";;"osoba";"";
2000000;"PODLASKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2021";;"osoba";"";
2000000;"PODLASKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2022";;"osoba";"";
2000000;"PODLASKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2023";474;"osoba";"";
2000000;"PODLASKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2024";567;"osoba";"";
2200000;"POMORSKIE";"stypendium socjalne";"uczelnie ogółem";"2019";4877;"osoba";"";
2200000;"POMORSKIE";"stypendium socjalne";"uczelnie ogółem";"2020";4038;"osoba";"";
2200000;"POMORSKIE";"stypendium socjalne";"uczelnie ogółem";"2021";3594;"osoba";"";
2200000;"POMORSKIE";"stypendium socjalne";"uczelnie ogółem";"2022";2958;"osoba";"";
2200000;"POMORSKIE";"stypendium socjalne";"uczelnie ogółem";"2023";2873;"osoba";"";
2200000;"POMORSKIE";"stypendium socjalne";"uczelnie ogółem";"2024";2853;"osoba";"";
2200000;"POMORSKIE";"stypendium rektora";"uczelnie ogółem";"2019";6319;"osoba";"";
2200000;"POMORSKIE";"stypendium rektora";"uczelnie ogółem";"2020";6888;"osoba";"";
2200000;"POMORSKIE";"stypendium rektora";"uczelnie ogółem";"2021";7265;"osoba";"";
2200000;"POMORSKIE";"stypendium rektora";"uczelnie ogółem";"2022";6695;"osoba";"";
2200000;"POMORSKIE";"stypendium rektora";"uczelnie ogółem";"2023";7044;"osoba";"";
2200000;"POMORSKIE";"stypendium rektora";"uczelnie ogółem";"2024";6955;"osoba";"";
2200000;"POMORSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2019";;"osoba";"";
2200000;"POMORSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2020";;"osoba";"";
2200000;"POMORSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2021";;"osoba";"";
2200000;"POMORSKIE";"stypendium dla osób z niepełnosprawnościami";"uczelnie ogółem";"2022";;"osoba";"";
